date,open,high,low,close,volume,average,barCount,tradeDate
2024-01-03 09:55:00-05:00,400.37,400.43,399.59,400.07,676021.0,399.953,3816,2024-01-03
2024-01-03 10:00:00-05:00,400.03,401.0,399.75,400.64,1135680.0,400.413,6142,2024-01-03
2024-01-03 10:05:00-05:00,400.7,400.9,399.9,399.93,634393.0,400.413,3511,2024-01-03
2024-01-03 10:10:00-05:00,399.93,400.01,398.98,399.0,932426.0,399.293,5089,2024-01-03
2024-01-03 10:15:00-05:00,399.0,399.22,398.84,399.04,778555.0,399.046,4022,2024-01-03
2024-01-03 10:20:00-05:00,399.03,399.1,398.71,399.08,480747.0,398.896,2539,2024-01-03
2024-01-03 10:25:00-05:00,399.09,399.51,398.89,399.25,664997.0,399.259,3533,2024-01-03
2024-01-03 10:30:00-05:00,399.25,399.43,398.93,399.12,405193.0,399.161,2262,2024-01-03
2024-01-03 10:35:00-05:00,399.13,399.32,398.4,398.5,584959.0,398.767,3473,2024-01-03
2024-01-03 10:40:00-05:00,398.49,399.2,398.41,398.99,509119.0,398.854,3034,2024-01-03
2024-01-03 10:45:00-05:00,398.99,399.13,398.71,398.84,454993.0,398.899,2756,2024-01-03
2024-01-03 10:50:00-05:00,398.82,399.37,398.79,399.1,503644.0,399.115,2967,2024-01-03
2024-01-03 10:55:00-05:00,399.12,399.71,398.97,399.62,1061135.0,399.465,2803,2024-01-03
2024-01-03 11:00:00-05:00,399.63,400.18,399.63,399.94,790578.0,399.977,4082,2024-01-03
2024-01-03 11:05:00-05:00,399.94,400.03,399.56,399.69,369529.0,399.769,2293,2024-01-03
2024-01-03 11:10:00-05:00,399.7,399.96,399.51,399.64,269791.0,399.717,1849,2024-01-03
2024-01-03 11:15:00-05:00,399.63,399.93,399.45,399.53,245739.0,399.641,1671,2024-01-03
2024-01-03 11:20:00-05:00,399.56,399.73,399.38,399.46,461559.0,399.62,1475,2024-01-03
2024-01-03 11:25:00-05:00,399.47,399.84,399.36,399.52,310645.0,399.554,1736,2024-01-03
2024-01-03 11:30:00-05:00,399.51,399.78,399.43,399.52,213757.0,399.597,1355,2024-01-03
2024-01-03 11:35:00-05:00,399.52,399.62,399.04,399.08,327098.0,399.242,1299,2024-01-03
2024-01-03 11:40:00-05:00,399.11,399.23,398.78,399.2,360168.0,398.988,2158,2024-01-03
2024-01-03 11:45:00-05:00,399.21,399.33,399.04,399.14,270587.0,399.197,1752,2024-01-03
2024-01-03 11:50:00-05:00,399.16,399.25,398.93,399.05,240413.0,399.039,1475,2024-01-03
